"input","axis","divergent_components","rurl(rfc3986)","rurl(whatwg)","curl","adaR","urltools"
"https://[0:1.290.0.0.0]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:1.290.0.0.0||/"
"https://[0:1.23.23]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:1.23.23||/"
"http://?","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/"
"http://#","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/"
"non-special://[:80/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","non-special|[|80|/"
"http://[::127.0.0.0.1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|::127.0.0.0.1||/"
"a","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|a||/"
"a/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|a||/"
"a//","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|a||/"
"file://­/p","ext-wpt-urltestdata","scheme,host,port,path","file|­||/p","<error>","<error>","<reject>","file|­||/p"
"file://%C2%AD/p","ext-wpt-urltestdata","scheme,host,port,path","file|%c2%ad||/p","<error>","<error>","<reject>","file|%c2%ad||/p"
"#","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/"
"?","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/"
"http://0..0x300/","ext-wpt-urltestdata","scheme,host,port,path","http|0..0x300||/ [warning-invalid-tld]","<error>","http|0..0x300||/","<reject>","http|0..0x300||/"
"http://0..0x300./","ext-wpt-urltestdata","scheme,host,port,path","http|0..0x300.||/ [warning-invalid-tld]","<error>","http|0..0x300.||/","<reject>","http|0..0x300.||/"
"http://1.2.3.08.","ext-wpt-urltestdata","scheme,host,port,path","http|1.2.3.08.||/ [warning-invalid-tld]","<error>","http|1.2.3.08.||/","<reject>","http|1.2.3.08.||/"
"http://1.2.3.09","ext-wpt-urltestdata","scheme,host,port,path","http|1.2.3.09||/ [warning-invalid-tld]","<error>","http|1.2.3.09||/","<reject>","http|1.2.3.09||/"
"http://09.2.3.4","ext-wpt-urltestdata","scheme,host,port,path","http|09.2.3.4||/ [warning-invalid-tld]","<error>","http|09.2.3.4||/","<reject>","http|09.2.3.4||/"
"http://09.2.3.4.","ext-wpt-urltestdata","scheme,host,port,path","http|09.2.3.4.||/ [warning-invalid-tld]","<error>","http|09.2.3.4.||/","<reject>","http|09.2.3.4.||/"
"http://01.2.3.4.5","ext-wpt-urltestdata","scheme,host,port,path","http|01.2.3.4.5||/ [warning-invalid-tld]","<error>","http|01.2.3.4.5||/","<reject>","http|01.2.3.4.5||/"
"http://01.2.3.4.5.","ext-wpt-urltestdata","scheme,host,port,path","http|01.2.3.4.5.||/ [warning-invalid-tld]","<error>","http|01.2.3.4.5.||/","<reject>","http|01.2.3.4.5.||/"
"http://0x100.2.3.4","ext-wpt-urltestdata","scheme,host,port,path","http|0x100.2.3.4||/ [warning-invalid-tld]","<error>","http|0x100.2.3.4||/","<reject>","http|0x100.2.3.4||/"
"http://0x100.2.3.4.","ext-wpt-urltestdata","scheme,host,port,path","http|0x100.2.3.4.||/ [warning-invalid-tld]","<error>","http|0x100.2.3.4.||/","<reject>","http|0x100.2.3.4.||/"
"http://0x1.2.3.4.5.","ext-wpt-urltestdata","scheme,host,port,path","http|0x1.2.3.4.5.||/ [warning-invalid-tld]","<error>","http|0x1.2.3.4.5.||/","<reject>","http|0x1.2.3.4.5.||/"
"http://foo.1.2.3.4","ext-wpt-urltestdata","scheme,host,port,path","http|foo.1.2.3.4||/ [warning-invalid-tld]","<error>","http|foo.1.2.3.4||/","<reject>","http|foo.1.2.3.4||/"
"http://foo.1.2.3.4.","ext-wpt-urltestdata","scheme,host,port,path","http|foo.1.2.3.4.||/ [warning-invalid-tld]","<error>","http|foo.1.2.3.4.||/","<reject>","http|foo.1.2.3.4.||/"
"http://foo.2.3.4","ext-wpt-urltestdata","scheme,host,port,path","http|foo.2.3.4||/ [warning-invalid-tld]","<error>","http|foo.2.3.4||/","<reject>","http|foo.2.3.4||/"
"http://foo.2.3.4.","ext-wpt-urltestdata","scheme,host,port,path","http|foo.2.3.4.||/ [warning-invalid-tld]","<error>","http|foo.2.3.4.||/","<reject>","http|foo.2.3.4.||/"
"http://foo.09.","ext-wpt-urltestdata","scheme,host,port,path","http|foo.09.||/ [warning-invalid-tld]","<error>","http|foo.09.||/","<reject>","http|foo.09.||/"
"http://foo.0x4.","ext-wpt-urltestdata","scheme,host,port,path","http|foo.0x4.||/ [warning-invalid-tld]","<error>","http|foo.0x4.||/","<reject>","http|foo.0x4.||/"
"http://0999999999999999999/","ext-wpt-urltestdata","scheme,host,port,path","http|0999999999999999999||/ [warning-no-tld]","<error>","http|0999999999999999999||/","<reject>","http|0999999999999999999||/"
"http://foo.0x","ext-wpt-urltestdata","scheme,host,port,path","http|foo.0x||/ [warning-invalid-tld]","<error>","http|foo.0x||/","<reject>","http|foo.0x||/"
"http://foo.0XFfFfFfFfFfFfFfFfFfAcE123","ext-wpt-urltestdata","scheme,host,port,path","http|foo.0xfffffffffffffffffface123||/ [warning-invalid-tld]","<error>","http|foo.0XFfFfFfFfFfFfFfFfFfAcE123||/","<reject>","http|foo.0xfffffffffffffffffface123||/"
"http://💩.123/","ext-wpt-urltestdata","scheme,host,port,path","http|💩.123||/ [warning-invalid-tld]","<error>","http|💩.123||/","<reject>","http|💩.123||/"
"https://￿y","ext-wpt-urltestdata","scheme,host,port,path","https|￿y||/ [warning-no-tld]","<error>","https|￿y||/","<reject>","https|￿y||/"
"","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/"
"https://­/","ext-wpt-urltestdata","scheme,host,port,path","https|­||/ [warning-no-tld]","<error>","https|­||/","<reject>","https|­||/"
"https://%C2%AD/","ext-wpt-urltestdata","scheme,host,port,path","https|­||/ [warning-no-tld]","<error>","https|­||/","<reject>","https|%c2%ad||/"
"data://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","data||443|/"
"data://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","data|test|test|/"
"data://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","data|:1||/"
"javascript://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","javascript||443|/"
"javascript://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","javascript|test|test|/"
"javascript://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","javascript|:1||/"
"mailto://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","mailto||443|/"
"mailto://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","mailto|test|test|/"
"mailto://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","mailto|:1||/"
"intent://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","intent||443|/"
"intent://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","intent|test|test|/"
"intent://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","intent|:1||/"
"urn://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","urn||443|/"
"urn://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","urn|test|test|/"
"urn://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","urn|:1||/"
"turn://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","turn||443|/"
"turn://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","turn|test|test|/"
"turn://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","turn|:1||/"
"stun://:443","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","stun||443|/"
"stun://test:test","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","stun|test|test|/"
"stun://[:1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","stun|:1||/"
"non-special://host\a","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","non-special|host\a||/"
"http://0x7f.0x0.0x0.0x1/","ext-ip-obfuscation","host","http|0x7f.0x0.0x0.0x1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f.0x0.0x0.0x1||/"
"http://0x7f.0x00.0x00.0x01/","ext-ip-obfuscation","host","http|0x7f.0x00.0x00.0x01||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f.0x00.0x00.0x01||/"
"http://0x7f.1/","ext-ip-obfuscation","host","http|0x7f.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f.1||/"
"http://0x7f.00.0.1/","ext-ip-obfuscation","host","http|0x7f.00.0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f.00.0.1||/"
"http://0x7f.256/","ext-ip-obfuscation","host","http|0x7f.256||/ [warning-invalid-tld]","http|127.0.1.0||/","http|127.0.1.0||/","http|127.0.1.0||/","http|0x7f.256||/"
"http://0177.00.00.01/","ext-ip-obfuscation","host","http|0177.00.00.01||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0177.00.00.01||/"
"http://0177.000.0000.00001/","ext-ip-obfuscation","host","http|0177.000.0000.00001||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0177.000.0000.00001||/"
"http://0177.0x0.1/","ext-ip-obfuscation","host","http|0177.0x0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0177.0x0.1||/"
"http://127.0.1/","ext-ip-obfuscation","host","http|127.0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.1||/"
"http://127。0。0。1/","ext-ip-obfuscation","host","http|127。0。0。1||/ [warning-no-tld]","http|127.0.0.1||/","http|127。0。0。1||/","http|127.0.0.1||/","http|127。0。0。1||/"
"http://127．0．0．1/","ext-ip-obfuscation","host","http|127．0．0．1||/ [warning-no-tld]","http|127.0.0.1||/","http|127．0．0．1||/","http|127.0.0.1||/","http|127．0．0．1||/"
"http://127｡0｡0｡1/","ext-ip-obfuscation","host","http|127｡0｡0｡1||/ [warning-no-tld]","http|127.0.0.1||/","http|127｡0｡0｡1||/","http|127.0.0.1||/","http|127｡0｡0｡1||/"
"http://0xa9fea9fe/","ext-ip-obfuscation","host","http|0xa9fea9fe||/ [warning-no-tld]","http|169.254.169.254||/","http|169.254.169.254||/","http|169.254.169.254||/","http|0xa9fea9fe||/"
"http://0xa9.0xfe.0xa9.0xfe/","ext-ip-obfuscation","host","http|0xa9.0xfe.0xa9.0xfe||/ [warning-invalid-tld]","http|169.254.169.254||/","http|169.254.169.254||/","http|169.254.169.254||/","http|0xa9.0xfe.0xa9.0xfe||/"
"http://2852039166/","ext-ip-obfuscation","host","http|2852039166||/ [warning-no-tld]","http|169.254.169.254||/","http|169.254.169.254||/","http|169.254.169.254||/","http|2852039166||/"
"http://0251.0376.0251.0376/","ext-ip-obfuscation","host","http|0251.0376.0251.0376||/ [warning-invalid-tld]","http|169.254.169.254||/","http|169.254.169.254||/","http|169.254.169.254||/","http|0251.0376.0251.0376||/"
"http://0xa9.254.0xa9.0376/","ext-ip-obfuscation","host","http|0xa9.254.0xa9.0376||/ [warning-invalid-tld]","http|169.254.169.254||/","http|169.254.169.254||/","http|169.254.169.254||/","http|0xa9.254.0xa9.0376||/"
"http://[::ffff:127.0.0.1]/","ext-ip-obfuscation","host","http|[::ffff:127.0.0.1]||/","http|[::ffff:7f00:1]||/","http|[::ffff:127.0.0.1]||/","http|[::ffff:7f00:1]||/","http|||/"
"http://[::127.0.0.1]/","ext-ip-obfuscation","host","http|[::127.0.0.1]||/","http|[::7f00:1]||/","http|[::127.0.0.1]||/","http|[::7f00:1]||/","http|||/"
"http://256.256.256.1/","ext-ip-obfuscation","scheme,host,port,path","http|256.256.256.1||/ [warning-invalid-tld]","<error>","http|256.256.256.1||/","<reject>","http|256.256.256.1||/"
"http://0xffffffff.0/","ext-ip-obfuscation","scheme,host,port,path","http|0xffffffff.0||/ [warning-invalid-tld]","<error>","http|0xffffffff.0||/","<reject>","http|0xffffffff.0||/"
"http://6442450945/","ext-ip-obfuscation","scheme,host,port,path","http|6442450945||/ [warning-no-tld]","<error>","http|6442450945||/","<reject>","http|6442450945||/"
"http://[::ffff:127.0.0.1%2523]/","ext-ip-obfuscation","scheme,host,port,path","<error>","<error>","http|[::ffff:127.0.0.1]||/","<reject>","http|||/"
"https://lemire.me/école","ext-ada-extra-urltestdata","","https|lemire.me||/école","https|lemire.me||/école","https|lemire.me||/école","https|lemire.me||/%C3%A9cole","https|lemire.me||/école"
"http://./","ext-ada-extra-urltestdata","","http|.||/ [warning-invalid-tld]","http|.||/ [warning-invalid-tld]","http|.||/","http|.||/","http|.||/"
"example.com`x.example.com","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|example.com`x.example.com||/"
"http://Yağız.com","ext-ada-extra-urltestdata","host","http|yağız.com||/","http|yağız.com||/","http|Yağız.com||/","http|yağız.com||/","http|yağız.com||/"
"fs:/hello.eth","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","fs|hello.eth||/","fs|||/hello.eth","|fs||/hello.eth"
"http://///\'","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","http|'||/ [warning-no-tld]","<error>","http|'||/","http|||//\'"
"http://[0:0:0:0:0:0:0:0","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|[0|0:0:0:0:0:0:0|/"
"http://0:0:0:0:0:0:0:0]","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|0|0:0:0:0:0:0:0]|/"
"mailto:a@b.com","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","mailto|||/a@b.com","|b.com||/"
"scheme:example.com","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","scheme|||/example.com","|scheme|example.com|/"
"scheme:example.com/path","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","scheme|||/example.com/path","|scheme|example.com|/path"
"scheme://example.com:-1","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","scheme|example.com|-1|/"
"scheme://example.com:+1","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","scheme|example.com|+1|/"
"schéme://example.com","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","schéme|example.com||/"
"scheme://username@@@@example.com","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","scheme|example.com||/","scheme|@@@example.com||/"
"file://localhost/path/to/file.txt","ext-ada-extra-urltestdata","host","file|||/path/to/file.txt","file|||/path/to/file.txt","file|||/path/to/file.txt","file|||/path/to/file.txt","file|localhost||/path/to/file.txt"
"file://localhost:8098/path/to/file.txt","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|localhost|8098|/path/to/file.txt"
"data:space    ?test#test","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","data|||/space   %20","|data|space    |/"
"https://example.com/""quoted""","ext-ada-extra-urltestdata","","https|example.com||/""quoted""","https|example.com||/""quoted""","https|example.com||/""quoted""","https|example.com||/%22quoted%22","https|example.com||/""quoted"""
"a:b#","ext-ada-extra-urltestdata","scheme,host,port,path","<error>","<error>","<error>","a|||/b","|a|b|/"
"http://lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com","ext-ada-verifydnslength","","http|lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com||/ [warning-invalid-tld]","http|lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com||/ [warning-invalid-tld]","http|lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com||/","http|lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com||/","http|lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.com||/"
"http://br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org/","ext-ada-verifydnslength","","http|br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org||/ [warning-invalid-tld]","http|br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org||/ [warning-invalid-tld]","http|br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org||/","http|br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org||/","http|br.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org||/"
"http://exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br/","ext-ada-verifydnslength","","http|exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br||/ [warning-invalid-tld]","http|exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br||/ [warning-invalid-tld]","http|exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br||/","http|exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br||/","http|exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore.org.br||/"
"http://br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore","ext-ada-verifydnslength","","http|br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore||/ [warning-invalid-tld]","http|br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore||/ [warning-invalid-tld]","http|br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore||/","http|br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore||/","http|br.exampleexampleexampleexampleexampleexampleexampleexampleexampleexample.lorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlorenlore||/"
"http://example..com.br","ext-ada-verifydnslength","","http|example..com.br||/ [warning-invalid-tld]","http|example..com.br||/ [warning-invalid-tld]","http|example..com.br||/","http|example..com.br||/","http|example..com.br||/"
"http://example.com.br..","ext-ada-verifydnslength","","http|example.com.br..||/ [warning-invalid-tld]","http|example.com.br..||/ [warning-invalid-tld]","http|example.com.br..||/","http|example.com.br..||/","http|example.com.br..||/"
"http://example.com.br....","ext-ada-verifydnslength","","http|example.com.br....||/ [warning-invalid-tld]","http|example.com.br....||/ [warning-invalid-tld]","http|example.com.br....||/","http|example.com.br....||/","http|example.com.br....||/"
"http://.example.com.br","ext-ada-verifydnslength","","http|.example.com.br||/ [warning-invalid-tld]","http|.example.com.br||/ [warning-invalid-tld]","http|.example.com.br||/","http|.example.com.br||/","http|.example.com.br||/"
"http://example.com..br","ext-ada-verifydnslength","","http|example.com..br||/ [warning-invalid-tld]","http|example.com..br||/ [warning-invalid-tld]","http|example.com..br||/","http|example.com..br||/","http|example.com..br||/"
"http://example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br","ext-ada-verifydnslength","","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br||/ [warning-invalid-tld]","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br||/ [warning-invalid-tld]","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br||/"
"http://example.com.","ext-ada-verifydnslength","","http|example.com.||/","http|example.com.||/","http|example.com.||/","http|example.com.||/","http|example.com.||/"
"http://example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.","ext-ada-verifydnslength","","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br.||/"
"http://example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br","ext-ada-verifydnslength","","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br||/","http|example.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.com.br.comm.br||/"
